Setting,"Pinhole Open, Shutter Closed","Pinhole Closed, Shutters Closed","Pinhole Closed, Shutters Open",dy,dx
0.05,1.125,0.0,0.0,0.176776695,0.01
0.1,11.5,0.5,0.125,0.176776695,0.01
0.15,172.625,182.5,168.625,0.176776695,0.01
0.2,136.5,118.25,119.5,0.176776695,0.01
0.25,46.375,12.875,11.875,0.176776695,0.01
0.3,29.75,1.125,1.875,0.176776695,0.01
0.35,30,0.25,0.5,0.176776695,0.01
0.4,29.75,0.25,0.625,0.176776695,0.01
0.45,27.75,0,0.5,0.176776695,0.01
0.5,31.625,0.5,0.25,0.176776695,0.01
0.55,32,1.25,0,0.176776695,0.01
0.6,29.125,0.5,0,0.176776695,0.01
0.65,29.375,0,0.25,0.176776695,0.01
0.7,35.5,0,0,0.176776695,0.01
0.75,32.25,0.25,0.75,0.176776695,0.01
0.8,30.375,0,0.25,0.176776695,0.01
0.85,29.875,0,0.5,0.176776695,0.01
0.9,29.75,0,0,0.176776695,0.01
0.95,31,0.25,0.25,0.176776695,0.01
1,32.375,0.25,0,0.176776695,0.01
1.2,28.125,0,0.25,0.176776695,0.01
1.4,27.875,0,0,0.176776695,0.01
1.6,27.125,0,0,0.176776695,0.01
1.8,30.375,0,0,0.176776695,0.01
2,29.625,0,0,0.176776695,0.01
2.5,29.375,0,0,0.176776695,0.01
3,27.75,0,0,0.176776695,0.01
3.5,21.375,0,0,0.176776695,0.01
4,5.125,0,0,0.176776695,0.01
4.5,0.75,0,0,0.176776695,0.01
5,0,0,0,0.176776695,0.01
5.5,0,0,0,0.176776695,0.01
